904 864
328 175 -1
175 589 8
684 843 5
326 201 4
498 99 5
257 552 -8
173 356 -9
170 720 -4
158 619 6
3 209 -2
318 307 -7
103 47 7
347 787 0
371 806 -9
140 467 -2
620 856 -4
6 725 -1
527 14 0
46 85 0
178 114 -7
453 507 8
795 26 6
782 227 -2
830 835 4
183 33 -4
694 655 -10
189 10 -2
866 183 9
616 15 9
142 708 3
55 168 8
487 266 -9
657 164 -2
644 124 9
324 256 3
114 874 -7
30 890 3
30 527 -3
790 163 -6
143 473 -8
142 258 5
696 575 10
141 529 7
288 435 0
753 426 10
50 614 9
386 284 -7
715 95 8
621 463 -7
115 457 -3
644 360 -10
830 260 -10
575 99 10
628 130 5
510 712 7
669 325 -4
299 850 3
175 416 -6
562 185 -7
854 628 -4
93 469 -5
782 84 3
726 878 4
390 856 -2
286 822 9
128 206 1
626 699 5
64 552 -7
342 32 1
6 183 -9
263 525 2
572 708 7
486 510 -6
482 480 -5
509 329 3
848 785 7
568 727 -7
132 37 -4
70 173 -3
528 854 -8
489 274 -3
84 793 -8
803 497 0
614 838 8
59 202 8
57 903 -9
16 653 -3
893 441 -2
765 822 7
710 845 -5
367 172 0
698 9 -4
596 871 -3
816 517 3
413 165 -7
424 799 -7
390 356 -6
785 30 -9
132 868 8
576 860 0
184 803 -7
384 399 -4
627 503 4
421 801 -6
190 46 -9
747 218 -9
658 750 -7
436 695 4
130 91 6
667 507 9
52 402 7
357 628 6
87 762 2
587 535 -8
107 753 0
130 452 5
682 67 -4
734 808 -5
693 332 -9
476 517 -5
863 267 4
898 186 -10
452 163 -4
137 273 6
346 529 -9
103 225 4
291 425 6
826 838 9
544 738 -7
503 470 -4
464 695 2
581 665 10
264 430 10
371 322 2
241 571 9
428 89 9
581 273 -2
161 207 -6
674 536 6
773 625 2
26 153 -8
646 47 -4
408 798 -7
567 549 -1
788 651 10
662 400 1
130 782 -4
64 298 -6
114 583 -6
143 13 0
402 208 2
242 71 -3
552 373 -8
411 482 -10
782 104 -5
730 403 1
522 133 9
61 750 5
693 349 6
593 131 -6
366 156 -5
614 648 -10
760 855 -6
52 260 -10
39 276 -6
43 239 -10
438 402 -5
750 307 4
98 539 4
188 717 5
402 528 8
404 173 -2
163 149 9
590 645 5
409 802 10
227 357 -2
752 701 6
441 120 9
175 747 -7
661 403 -3
612 655 10
626 469 -3
55 164 -2
431 317 -10
819 187 10
112 299 -9
865 427 4
239 812 3
789 683 2
413 32 -2
110 560 -6
614 131 -2
97 730 -9
16 341 2
72 156 -3
4 21 -2
148 426 6
202 205 5
811 272 -1
81 746 -4
446 750 -6
258 404 9
583 661 -2
855 727 6
460 638 -2
586 821 -5
407 543 -10
718 439 -1
509 651 -7
647 89 2
480 816 3
830 316 0
278 585 -6
401 657 -7
400 747 -8
127 527 -5
626 493 1
170 354 -7
292 535 9
301 51 -4
358 213 10
808 136 0
605 833 5
528 131 0
236 823 -5
183 787 10
872 49 -7
70 221 5
277 280 4
297 240 -1
100 618 1
619 657 -1
808 731 0
798 214 0
557 224 6
886 541 -4
210 538 10
461 316 -8
269 179 9
767 695 -2
375 556 1
549 611 -10
760 202 -7
797 216 10
335 32 6
45 165 -5
901 758 -3
196 60 -3
494 137 -7
63 44 0
189 432 5
218 575 -3
334 824 -9
635 358 9
617 695 10
279 41 4
347 534 3
75 440 -10
471 838 -8
787 256 -2
383 621 5
655 479 -2
541 381 2
47 757 10
406 830 0
222 23 1
169 431 7
1 795 -8
772 279 -10
803 9 -3
880 266 1
37 530 8
353 22 2
679 820 -8
523 252 0
799 788 7
811 313 2
15 835 -9
720 829 7
429 342 1
448 464 -8
18 6 -3
206 813 4
554 423 -7
700 643 2
5 430 8
618 858 -8
421 757 4
863 872 -9
666 659 -5
11 624 9
9 723 -9
806 37 -5
896 347 -10
872 625 -7
310 161 -3
323 681 5
869 873 -2
594 291 7
353 470 10
323 9 -7
896 174 2
660 147 0
673 727 3
802 282 0
536 884 -8
594 777 -9
456 412 -9
421 668 -7
416 420 -10
21 333 -3
149 196 5
297 411 8
567 467 -7
607 249 6
121 40 -9
662 402 -10
175 511 5
665 894 -3
830 172 -8
574 845 -9
278 183 1
162 292 8
511 10 0
615 618 -10
717 394 -7
680 529 2
126 64 4
668 650 -7
500 187 7
702 512 -9
311 496 -1
684 815 -2
566 189 -3
354 297 -1
563 274 9
234 45 -5
