test_case,n,bound,actual
t0.txt,13,12,9
t1.txt,11,10,6
t10.txt,11,10,5
t11.txt,14,13,6
t12.txt,12,11,5
t13.txt,6,5,5
t14.txt,7,6,6
t15.txt,7,6,6
t16.txt,11,10,7
t17.txt,12,11,8
t18.txt,11,10,8
t19.txt,8,7,7
t2.txt,14,13,10
t20.txt,9,8,5
t21.txt,11,10,10
t22.txt,13,12,9
t23.txt,7,6,6
t24.txt,12,11,10
t25.txt,11,10,10
t26.txt,10,9,6
t27.txt,14,13,8
t28.txt,10,9,7
t29.txt,11,10,7
t3.txt,12,11,9
t30.txt,6,5,5
t31.txt,7,6,6
t32.txt,9,8,6
t33.txt,12,11,7
t34.txt,12,11,6
t35.txt,13,12,7
t36.txt,12,11,6
t37.txt,14,13,9
t38.txt,14,13,7
t39.txt,6,5,5
t4.txt,7,6,6
t40.txt,7,6,6
t41.txt,7,6,6
t42.txt,12,11,6
t43.txt,7,6,6
t44.txt,6,5,5
t45.txt,8,7,4
t46.txt,14,13,10
t47.txt,13,12,8
t48.txt,10,9,6
t49.txt,6,5,3
t5.txt,11,10,10
t6.txt,7,6,6
t7.txt,9,8,8
t8.txt,14,13,9
t9.txt,12,11,8
