test,n,bound,actual
t01,4,3,3
t02,4,3,1
t03,5,4,4
t04,5,4,2
t05,6,5,5
t06,6,5,1
t07,3,2,2
t08,3,2,1
t09,7,6,6
t10,7,6,1
t11,8,7,7
t12,8,7,2
t13,2,1,1
t14,2,,0
t15,9,8,8
t16,9,8,3
t17,10,9,9
t18,10,9,1
t19,4,3,3
t20,4,3,1
t21,5,4,4
t22,5,4,1
t23,11,10,10
t24,11,10,2
t25,4,3,3
t26,4,3,1
t27,5,4,4
t28,5,4,2
t29,6,5,5
t30,6,5,2
t31,7,6,6
t32,7,6,2
t33,8,7,7
t34,8,7,2
t35,3,2,2
t36,3,2,1
t37,10,9,9
t38,10,9,2
t39,9,8,8
t40,9,8,3
t41,2,1,1
t42,2,,0
t43,11,10,10
t44,11,10,2
t45,12,11,11
t46,12,11,1
t47,4,3,3
t48,5,4,4
t49,6,5,1
t50,7,6,6
